rank,sign_id,betweenness_centrality
1,𐝫,0.116871
2,𐄈,0.066392
3,𐄁,0.062506
4,AB 66,0.041556
5,AB 65,0.041149
6,AB 09,0.036028
7,AB 59,0.034439
8,AB 54,0.030608
9,AB 03,0.028464
10,𐄐,0.027574
11,AB 26,0.026295
12,AB 24,0.025056
13,𐄇,0.024771
14,A 400,0.024596
15,AB 08,0.023280
16,𐄋,0.022932
17,𐄊,0.022852
18,𐄉,0.021444
19,AB 14,0.021358
20,AB 07,0.016965
21,AB 32,0.016318
22,AB 75,0.016301
23,AB 62,0.015446
24,𐄌,0.015285
25,AB 04,0.014183
26,AB 34,0.014145
27,AB 56,0.014127
28,AB 77,0.013951
29,AB 06,0.013756
30,AB 12,0.012340
