sign_id,degree_centrality,betweenness_centrality,pagerank,clustering_coefficient
A 028B,0.532110,0.004922,0.005937,0.807623
A 301,0.275229,0.000419,0.004006,0.912644
A 304,0.211009,0.000000,0.003347,1.000000
A 305,0.211009,0.000000,0.001364,1.000000
A 310,0.256881,0.000000,0.002524,1.000000
A 312,0.174312,0.000000,0.003075,1.000000
A 321,0.119266,0.000000,0.002901,1.000000
A 362,0.284404,0.000000,0.002175,1.000000
A 363,0.449541,0.001352,0.005013,0.896259
A 568,0.027523,0.000000,0.002879,1.000000
A 716,0.256881,0.001247,0.004245,0.857143
A 718,0.174312,0.000000,0.003413,1.000000
AB 01,0.568807,0.010724,0.007073,0.733474
AB 02,0.568807,0.010355,0.006879,0.715494
AB 03,0.788991,0.028464,0.011174,0.598906
AB 04,0.614679,0.014183,0.015572,0.668476
AB 05,0.376147,0.001037,0.003933,0.890244
AB 06,0.633028,0.013756,0.008111,0.689685
AB 07,0.678899,0.016965,0.010456,0.658645
AB 08,0.724771,0.023280,0.021304,0.646219
AB 09,0.816514,0.036028,0.015241,0.576609
AB 10,0.348624,0.000459,0.004349,0.941679
AB 118,0.403670,0.001811,0.005598,0.866808
AB 120,0.174312,0.000645,0.004650,0.836257
AB 122,0.541284,0.016301,0.008447,0.630625
AB 123,0.211009,0.000000,0.002687,1.000000
AB 13,0.651376,0.012340,0.007128,0.712676
AB 131A,0.642202,0.013951,0.012983,0.686128
AB 131B,0.284404,0.000000,0.002659,1.000000
AB 16,0.266055,0.000000,0.002531,1.000000
AB 17,0.743119,0.021358,0.012259,0.633333
AB 171,0.211009,0.000000,0.002513,1.000000
AB 21f,0.366972,0.001288,0.003297,0.892308
AB 22f,0.293578,0.001408,0.005674,0.889113
AB 22m,0.082569,0.000000,0.002796,1.000000
AB 23,0.477064,0.002523,0.005714,0.851433
AB 24,0.376147,0.000967,0.004115,0.907317
AB 26,0.577982,0.011791,0.011648,0.705069
AB 27,0.761468,0.025056,0.018661,0.621804
AB 28,0.743119,0.026295,0.014762,0.611728
AB 29,0.266055,0.001203,0.002796,0.847291
AB 30,0.568807,0.005982,0.011684,0.779482
AB 31,0.605505,0.008209,0.013813,0.733800
AB 34,0.211009,0.000000,0.003978,1.000000
AB 37,0.688073,0.016318,0.014446,0.676757
AB 38,0.642202,0.011383,0.008538,0.712629
AB 39,0.715596,0.014145,0.009557,0.675991
AB 40,0.385321,0.001259,0.004412,0.890825
AB 41,0.651376,0.011258,0.015483,0.704628
AB 44,0.385321,0.000358,0.005100,0.953542
AB 45,0.467890,0.004452,0.008426,0.806275
AB 47,0.321101,0.000000,0.001364,1.000000
AB 49,0.284404,0.000000,0.002596,1.000000
AB 50,0.266055,0.000000,0.003297,1.000000
AB 51,0.449541,0.004131,0.009359,0.820578
AB 53,0.339450,0.000775,0.007808,0.897898
AB 54,0.467890,0.009387,0.003818,0.722353
AB 55,0.605505,0.006834,0.007472,0.761772
AB 57,0.642202,0.011576,0.016232,0.717184
AB 58,0.192661,0.000100,0.004175,0.961905
AB 59,0.651376,0.012058,0.020790,0.685312
AB 60,0.587156,0.011087,0.014080,0.706349
AB 61,0.183486,0.000047,0.005820,0.978947
AB 65,0.724771,0.030608,0.012804,0.591691
AB 66,0.366972,0.002629,0.005410,0.821795
AB 67,0.706422,0.014127,0.012210,0.674641
AB 69,0.568807,0.006344,0.011724,0.755156
AB 70,0.440367,0.003283,0.007117,0.804965
AB 73,0.788991,0.034439,0.020408,0.581669
AB 76,0.431193,0.004974,0.003720,0.779833
AB 77,0.697248,0.015446,0.013236,0.672632
AB 78,0.495413,0.002175,0.006464,0.866527
AB 79,0.431193,0.000734,0.003244,0.932470
AB 80,0.834862,0.041149,0.021770,0.569719
AB 81,0.844037,0.041556,0.021701,0.560678
AB 82,0.275229,0.000000,0.002400,1.000000
AB 85,0.082569,0.000000,0.002175,1.000000
MET A,0.119266,0.000000,0.002479,1.000000
VASE 10,0.275229,0.005327,0.008668,0.880460
—,0.284404,0.001635,0.004548,0.836559
𐄁,0.871560,0.062506,0.034692,0.512878
𐄇,0.770642,0.024771,0.025021,0.612450
𐄈,0.899083,0.066392,0.028524,0.517568
𐄉,0.743119,0.021444,0.013738,0.638889
𐄊,0.761468,0.022852,0.019216,0.621217
𐄋,0.743119,0.022932,0.021001,0.631790
𐄌,0.642202,0.015285,0.012154,0.696894
𐄍,0.477064,0.006024,0.010379,0.784314
𐄎,0.477064,0.005765,0.007546,0.794872
𐄏,0.211009,0.000000,0.003075,1.000000
𐄐,0.715596,0.027574,0.018123,0.620047
𐄑,0.486239,0.010355,0.005503,0.690856
𐄒,0.330275,0.000697,0.004336,0.911111
𐄓,0.522936,0.006888,0.012054,0.753133
𐄔,0.522936,0.004743,0.005990,0.809524
𐄕,0.100917,0.000023,0.003607,0.963636
𐄖,0.110092,0.000000,0.002743,1.000000
𐄗,0.211009,0.000000,0.002957,1.000000
𐄙,0.385321,0.005370,0.007498,0.751452
𐚽,0.201835,0.000000,0.003993,1.000000
𐛀,0.376147,0.001605,0.004757,0.852439
𐛟,0.256881,0.000000,0.002440,1.000000
𐛭,0.623853,0.024596,0.010934,0.585162
𐝁,0.293578,0.001748,0.006945,0.860887
𐝂,0.293578,0.001748,0.003936,0.860887
𐝃,0.513761,0.010399,0.006012,0.705844
𐝄,0.036697,0.000000,0.002796,1.000000
𐝆,0.669725,0.011177,0.011399,0.706621
𐝈,0.256881,0.000000,0.002918,1.000000
𐝫,0.981651,0.116871,0.077500,0.456533
