rank,sign_id,betweenness_centrality
1,𐝫,0.541136
2,𐄈,0.090434
3,𐄇,0.070910
4,𐄁,0.061792
5,VASE 7,0.059378
6,AB 29,0.057962
7,AB 87,0.051922
8,AB 36,0.046335
9,VASE 10,0.030998
10,AB 26,0.029807
11,VASE 2,0.029275
12,AB 51,0.027798
13,𐄐,0.027740
14,𐝥,0.027203
15,AB 02,0.027203
16,AB 90,0.025807
17,VASE 8,0.024915
18,AB 34,0.021507
19,𐄉,0.021087
20,VASE 4,0.020924
21,AB 08,0.020070
22,AB 66,0.016557
23,AB 77,0.016031
24,AB 49,0.015189
25,AB 56,0.013888
26,MET G,0.013107
27,AB 62,0.013047
28,AB 03,0.012179
29,AB 24,0.010926
30,𐄊,0.010770
